child,parent_1,parent_2,parent_3
GEN=54_MEMBER=95_DE,GEN=26_MEMBER=752_DE,GEN=43_MEMBER=1266_DE,GEN=49_MEMBER=1445_DE,GEN=53_MEMBER=60_DE
GEN=54_MEMBER=96_DE,GEN=26_MEMBER=752_DE,GEN=47_MEMBER=1388_DE,GEN=53_MEMBER=60_DE,GEN=33_MEMBER=966_DE
GEN=54_MEMBER=97_DE,GEN=20_MEMBER=588_DE,GEN=33_MEMBER=966_DE,GEN=26_MEMBER=762_DE,GEN=53_MEMBER=75_DE
GEN=54_MEMBER=98_DE,GEN=30_MEMBER=870_DE,GEN=40_MEMBER=1186_DE,GEN=43_MEMBER=1266_DE,GEN=20_MEMBER=588_DE
GEN=54_MEMBER=99_DE,GEN=49_MEMBER=1445_DE,GEN=14_MEMBER=403_DE,GEN=35_MEMBER=1039_DE,GEN=53_MEMBER=86_DE
GEN=54_MEMBER=100_DE,GEN=50_MEMBER=1475_DE,GEN=50_MEMBER=1480_DE,GEN=53_MEMBER=60_DE,GEN=53_MEMBER=67_DE
GEN=54_MEMBER=101_DE,GEN=30_MEMBER=870_DE,GEN=40_MEMBER=1186_DE,GEN=47_MEMBER=1388_DE,GEN=39_MEMBER=1165_DE
GEN=54_MEMBER=102_DE,GEN=30_MEMBER=870_DE,GEN=47_MEMBER=1388_DE,GEN=35_MEMBER=1039_DE,GEN=52_MEMBER=30_DE
GEN=54_MEMBER=103_DE,GEN=43_MEMBER=1266_DE,GEN=6_MEMBER=158_DE,GEN=51_MEMBER=13_DE,GEN=52_MEMBER=34_DE
GEN=54_MEMBER=104_DE,GEN=40_MEMBER=1186_DE,GEN=47_MEMBER=1388_DE,GEN=50_MEMBER=1480_DE,GEN=14_MEMBER=403_DE
GEN=54_MEMBER=105_DE,GEN=50_MEMBER=1475_DE,GEN=26_MEMBER=752_DE,GEN=20_MEMBER=588_DE,GEN=49_MEMBER=1445_DE
GEN=54_MEMBER=106_DE,GEN=30_MEMBER=870_DE,GEN=26_MEMBER=752_DE,GEN=6_MEMBER=158_DE,GEN=52_MEMBER=30_DE
GEN=54_MEMBER=107_DE,GEN=50_MEMBER=1475_DE,GEN=42_MEMBER=1237_DE,GEN=33_MEMBER=966_DE,GEN=26_MEMBER=762_DE
GEN=54_MEMBER=108_DE,GEN=40_MEMBER=1186_DE,GEN=50_MEMBER=1475_DE,GEN=26_MEMBER=752_DE,GEN=51_MEMBER=13_DE
GEN=54_MEMBER=109_DE,GEN=45_MEMBER=1330_DE,GEN=42_MEMBER=1237_DE,GEN=52_MEMBER=34_DE,GEN=53_MEMBER=75_DE
GEN=54_MEMBER=110_DE,GEN=40_MEMBER=1186_DE,GEN=43_MEMBER=1266_DE,GEN=45_MEMBER=1330_DE,GEN=17_MEMBER=502_DE
GEN=54_MEMBER=111_DE,GEN=40_MEMBER=1186_DE,GEN=26_MEMBER=752_DE,GEN=47_MEMBER=1388_DE,GEN=51_MEMBER=6_DE
GEN=54_MEMBER=112_DE,GEN=6_MEMBER=158_DE,GEN=45_MEMBER=1330_DE,GEN=53_MEMBER=60_DE,GEN=52_MEMBER=30_DE
GEN=54_MEMBER=113_DE,GEN=30_MEMBER=870_DE,GEN=43_MEMBER=1266_DE,GEN=6_MEMBER=158_DE,GEN=45_MEMBER=1330_DE
GEN=54_MEMBER=114_DE,GEN=6_MEMBER=158_DE,GEN=42_MEMBER=1237_DE,GEN=17_MEMBER=502_DE,GEN=53_MEMBER=67_DE
GEN=54_MEMBER=115_DE,GEN=40_MEMBER=1186_DE,GEN=47_MEMBER=1388_DE,GEN=20_MEMBER=588_DE,GEN=14_MEMBER=403_DE
GEN=54_MEMBER=116_DE,GEN=45_MEMBER=1330_DE,GEN=39_MEMBER=1165_DE,GEN=26_MEMBER=762_DE,GEN=52_MEMBER=59_DE
GEN=54_MEMBER=117_DE,GEN=30_MEMBER=870_DE,GEN=47_MEMBER=1388_DE,GEN=6_MEMBER=158_DE,GEN=53_MEMBER=60_DE
