iteration,total_runs,obs_realization,par_realization,hmuni,hdeep,hshallow,v_lens,zert,zmuni,l_zmuni_pct,zwells,ztdem
0,178,176,176,144.852,160.565,684.637,0,5140.98,0,0,10453.9,6155.67
0,178,177,177,345.716,54.1516,1804.65,0,3686.67,0,0,3353.84,5315.11
0,178,178,178,142.813,369.456,714.31,0,15271.5,0,0,21571.2,15339.1
0,178,179,179,174.571,291.809,661.577,0,6367.44,0,0,14019.1,8753.26
0,178,180,180,185.607,58.19,1150.62,0,4124.74,0,0,5500.26,5774.23
0,178,181,181,4075.82,907.197,13659.5,0,53856.2,0,0,23350.6,50951.6
0,178,182,182,247.656,52.5911,222.981,0,1227.45,0,0,1165.55,1879.05
0,178,183,183,151.685,220.981,16.2366,0,855.19,0,0,258.063,679.603
0,178,184,184,160.099,74.6353,83.5057,0,840.587,0,0,227.948,498.688
0,178,185,185,209.311,23.5681,659.28,0,1524.28,0,0,2290.46,1837.17
0,178,186,186,370.674,89.3988,408.485,0,1599.58,0,0,1152.1,1447.49
0,178,187,187,163.706,142.981,7.75613,0,1358.24,0,0,188.248,1019.9
0,178,188,188,10207.6,4679.47,38252.1,0,133560,0,0,92574.5,135405
0,178,189,189,590.758,107.581,6295.33,0,7195.46,0,0,4143.22,11721.8
0,178,190,190,168.952,116.517,86.7604,0,676.318,0,0,183.687,781.972
0,178,192,192,156.553,27.004,237.152,0,1281.67,0,0,1676.84,1533.03
0,178,193,193,228.619,194.062,145.005,0,1217.63,0,0,740.82,1575.68
0,178,194,194,654.251,140.679,4037.98,0,10325.3,0,0,5708.93,11497.1
0,178,195,195,147.936,26.3868,315.13,0,4247.92,0,0,3547.28,5561.84
0,178,196,196,377.339,114.356,1442.93,0,8317.52,0,0,6905.13,8962.84
0,178,197,197,147.406,71.3651,450.848,0,7507.52,0,0,14729,9823.76
0,178,198,198,263.535,587.316,1264.45,0,12609.3,0,0,22839.9,16936.5
0,178,base,base,175.889,23.0846,601.427,0,3246.8,0,0,3732.33,4350.69
1,386,0,0,102.37,93.8338,5.43558,0,547.145,0,0,90.6486,562.332
1,386,1,1,118.18,94.3926,13.0699,0,627.856,0,0,156.321,555.173
1,386,2,2,232.328,187.33,110.07,0,882.497,0,0,156.92,544.689
