child,parent_1,parent_2,parent_3
GEN=4_MEMBER=96_DE,GEN=2_MEMBER=42_DE,GEN=2_MEMBER=38_DE,GEN=1_MEMBER=27_DE,GEN=3_MEMBER=71_DE
GEN=4_MEMBER=97_DE,GEN=1_MEMBER=2_DE,GEN=2_MEMBER=49_DE,GEN=1_MEMBER=27_DE,GEN=1_MEMBER=24_DE
GEN=4_MEMBER=98_DE,GEN=2_MEMBER=42_DE,GEN=1_MEMBER=2_DE,GEN=2_MEMBER=49_DE,GEN=1_MEMBER=4_DE
GEN=4_MEMBER=99_DE,GEN=1_MEMBER=4_DE,GEN=3_MEMBER=68_DE,GEN=1_MEMBER=10_DE,GEN=0_MEMBER=16
GEN=4_MEMBER=100_DE,GEN=3_MEMBER=68_DE,GEN=3_MEMBER=76_DE,GEN=1_MEMBER=24_DE,GEN=3_MEMBER=64_DE
GEN=4_MEMBER=101_DE,GEN=2_MEMBER=42_DE,GEN=2_MEMBER=36_DE,GEN=2_MEMBER=38_DE,GEN=1_MEMBER=4_DE
GEN=4_MEMBER=102_DE,GEN=1_MEMBER=2_DE,GEN=2_MEMBER=38_DE,GEN=1_MEMBER=4_DE,GEN=3_MEMBER=71_DE
GEN=4_MEMBER=103_DE,GEN=2_MEMBER=49_DE,GEN=1_MEMBER=27_DE,GEN=2_MEMBER=55_DE,GEN=1_MEMBER=0_DE
GEN=4_MEMBER=104_DE,GEN=2_MEMBER=49_DE,GEN=2_MEMBER=38_DE,GEN=2_MEMBER=55_DE,GEN=1_MEMBER=0_DE
GEN=4_MEMBER=105_DE,GEN=1_MEMBER=2_DE,GEN=2_MEMBER=49_DE,GEN=3_MEMBER=71_DE,GEN=3_MEMBER=89_DE
GEN=4_MEMBER=106_DE,GEN=1_MEMBER=2_DE,GEN=3_MEMBER=78_DE,GEN=1_MEMBER=10_DE,GEN=1_MEMBER=14_DE
GEN=4_MEMBER=107_DE,GEN=2_MEMBER=42_DE,GEN=3_MEMBER=76_DE,GEN=1_MEMBER=0_DE,GEN=3_MEMBER=89_DE
GEN=4_MEMBER=108_DE,GEN=2_MEMBER=42_DE,GEN=1_MEMBER=2_DE,GEN=2_MEMBER=36_DE,GEN=2_MEMBER=38_DE
